Period,ETF,Weight_Type,Tickers,Periods,A,B,R²,Systematic
120 Days Weekly,ARKF,MarketCap Weighted,42,15,0.3810939315190557,0.1437356896656583,0.985231114011039,0.37395301248640805
120 Days Weekly,ARKG,Equal Weighted,34,15,0.5188516088961365,0.45817570406296815,0.8566688762410518,0.5121867837014876
120 Days Weekly,ARKG,MarketCap Weighted,34,15,0.4046207278961454,0.4526751224521378,0.9945851226987337,0.5121867837014876
120 Days Weekly,ARKQ,Equal Weighted,37,15,0.3884965261067753,0.20075752505179276,0.9882157490370862,0.40554141951710015
120 Days Weekly,ARKQ,MarketCap Weighted,37,15,0.3924281907718205,0.2089236510789732,0.9567022533373051,0.40554141951710015
120 Days Weekly,ARKW,Equal Weighted,47,15,0.38296013674659035,0.22680823279647752,0.9838658126045673,0.39820462935452205
120 Days Weekly,ARKW,MarketCap Weighted,47,15,0.3792377825205917,0.22286913410421877,0.9802901869278573,0.39820462935452205
120 Days Weekly,ARKX,Equal Weighted,34,15,0.30787275528496716,0.16822000334996218,0.9967502991600027,0.3242733240325139
120 Days Weekly,ARKX,MarketCap Weighted,34,15,0.39838496248569916,0.09419149653245047,0.9152929874035935,0.3242733240325139
250 Days Daily,ARKK,Equal Weighted,45,122,0.30393320861837886,0.36926957950258843,0.9444161429085786,0.3003527242430882
250 Days Daily,ARKK,MarketCap Weighted,45,122,0.32197088621033854,0.3353390831422389,0.9734956980863597,0.3003527242430882
250 Days Daily,ARKF,Equal Weighted,42,103,0.28989106518371227,0.27716221048235057,0.959549830604571,0.2889659807432011
250 Days Daily,ARKF,MarketCap Weighted,42,103,0.2956208786772014,0.26826393514152624,0.988869732465549,0.2889659807432011
250 Days Daily,ARKG,Equal Weighted,34,159,0.5981670931027944,0.5559067589597659,0.7834927962003189,0.548626245236531
250 Days Daily,ARKG,MarketCap Weighted,34,159,0.3771913615197439,0.6251740592673103,0.9969550906732603,0.548626245236531
250 Days Daily,ARKQ,Equal Weighted,37,159,0.2795619625688217,0.27468744510511844,0.9792449780538696,0.28279272238559217
250 Days Daily,ARKQ,MarketCap Weighted,37,159,0.29926232737855835,0.259277879191112,0.9497427254666411,0.28279272238559217
250 Days Daily,ARKW,Equal Weighted,47,122,0.2918532310786044,0.3157730471751079,0.9761762683340774,0.2914468233107866
250 Days Daily,ARKW,MarketCap Weighted,47,122,0.29205573191318407,0.29365932256706484,0.9861565471852495,0.2914468233107866
250 Days Daily,ARKX,Equal Weighted,34,159,0.2164027879373217,0.2465823238172546,0.9729726513606135,0.21928056045380917
250 Days Daily,ARKX,MarketCap Weighted,34,159,0.2801339696832303,0.19310411256538282,0.91658953386894,0.21928056045380917
250 Days Weekly,ARKK,Equal Weighted,45,26,0.34539398432823626,0.27966198438171963,0.9769089535206541,0.3523621630916269
250 Days Weekly,ARKK,MarketCap Weighted,45,26,0.3702186750786531,0.2506615230770728,0.9744526882541646,0.3523621630916269
